Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
7,2024-01-09,,09:19:00,71802.95,,,,,2024-01-09,,09:42:00,71689.13,-1976.0,,,0,-1976.0,
7.1,2024-01-09,Tuesday,09:19:00,361.5,20,CE,71800.0,Sell,2024-01-09,Tuesday,09:42:00,371.2,-193.99999999999977,-2.6832641770401073,2024-01-12,,,Stop Loss Hit
7.2,2024-01-09,Tuesday,09:19:00,356.35,20,PE,71900.0,Sell,2024-01-09,Tuesday,09:41:00,445.45,-1781.9999999999993,-25.003507787287766,2024-01-12,,,Stop Loss Hit
8,2024-01-10,,09:19:00,71437.21,,,,,2024-01-10,,09:46:00,71390.24,-1643.0,,,551.0,-1643.0,
8.1,2024-01-10,Wednesday,09:19:00,325.0,20,CE,71500.0,Sell,2024-01-10,Wednesday,09:46:00,325.0,-0.0,-0.0,2024-01-12,,,Stop Loss Hit
8.2,2024-01-10,Wednesday,09:19:00,328.65,20,PE,71400.0,Sell,2024-01-10,Wednesday,09:28:00,410.8,-1643.0000000000007,-24.996196561691782,2024-01-12,,,Stop Loss Hit
9,2024-01-11,,09:19:00,71959.64,,,,,2024-01-11,,15:15:00,71726.94,1530.0,,,2787.0,-527.0,Exit Condition Met For Trade
9.1,2024-01-11,Thursday,09:19:00,337.65,20,CE,71800.0,Sell,2024-01-11,Thursday,15:15:00,180.4,3144.9999999999995,46.57189397304901,2024-01-12,,,Exit Condition Met For Trade
9.2,2024-01-11,Thursday,09:19:00,323.0,20,PE,72100.0,Sell,2024-01-11,Thursday,09:56:00,403.75,-1615.0,-25.0,2024-01-12,,,Stop Loss Hit
10,2024-01-12,,09:19:00,72062.82,,,,,2024-01-12,,15:15:00,72508.38,4443.0,,,4443.0,-144.0,Exit Condition Met For Trade
10.1,2024-01-12,Friday,09:19:00,351.3,20,CE,71700.0,Sell,2024-01-12,Friday,10:01:00,439.1,-1756.0000000000002,-24.992883575291778,2024-01-12,,,Stop Loss Hit
10.2,2024-01-12,Friday,09:19:00,310.35,20,PE,72300.0,Sell,2024-01-12,Friday,15:15:00,0.4,6199.000000000001,99.87111325922346,2024-01-12,,,Exit Condition Met For Trade
11,2024-01-15,,09:19:00,73123.74,,,,,2024-01-15,,15:15:00,73290.25,1136.0,,,1459.0,-548.0,Exit Condition Met For Trade
11.1,2024-01-15,Monday,09:19:00,342.0,20,CE,73500.0,Sell,2024-01-15,Monday,15:15:00,375.05,-661.0000000000002,-9.663742690058482,2024-01-19,,,Exit Condition Met For Trade
11.2,2024-01-15,Monday,09:19:00,357.25,20,PE,72800.0,Sell,2024-01-15,Monday,15:15:00,267.4,1797.0000000000005,25.150454863540944,2024-01-19,,,Exit Condition Met For Trade
12,2024-01-16,,09:19:00,73258.82,,,,,2024-01-16,,15:15:00,73140.19,354.0,,,1569.0,-373.0,Exit Condition Met For Trade
12.1,2024-01-16,Tuesday,09:19:00,360.95,20,CE,73400.0,Sell,2024-01-16,Tuesday,15:15:00,256.85,2081.999999999999,28.84055963429837,2024-01-19,,,Exit Condition Met For Trade
12.2,2024-01-16,Tuesday,09:19:00,345.55,20,PE,73000.0,Sell,2024-01-16,Tuesday,13:34:00,431.95,-1727.9999999999995,-25.003617421501946,2024-01-19,,,Stop Loss Hit
13,2024-01-17,,09:19:00,72391.81,,,,,2024-01-17,,15:15:00,71587.25,3159.0,,,3390.0,-1508.0,Exit Condition Met For Trade
13.1,2024-01-17,Wednesday,09:19:00,342.0,20,CE,72600.0,Sell,2024-01-17,Wednesday,15:15:00,91.55,5009.0,73.23099415204679,2024-01-19,,,Exit Condition Met For Trade
